DATE,IPG3273S
1972-01-01,93.2778
1972-02-01,90.9497
1972-03-01,90.2440
1972-04-01,89.9927
1972-05-01,88.8722
1972-06-01,89.1905
1972-07-01,89.9259
1972-08-01,91.1359
1972-09-01,91.7908
1972-10-01,91.8994
1972-11-01,88.2218
1972-12-01,86.4575
1973-01-01,90.4844
1973-02-01,93.3420
1973-03-01,94.3378
1973-04-01,93.7368
1973-05-01,93.8856
1973-06-01,94.0827
1973-07-01,95.0830
1973-08-01,94.7843
1973-09-01,92.4949
1973-10-01,92.1385
1973-11-01,94.3324
1973-12-01,94.1459
1974-01-01,91.6863
1974-02-01,96.6151
1974-03-01,94.8866
1974-04-01,93.6830
1974-05-01,92.1890
1974-06-01,92.1423
1974-07-01,89.8583
1974-08-01,88.6387
1974-09-01,88.2042
1974-10-01,88.7705
1974-11-01,86.2690
1974-12-01,86.4169
1975-01-01,85.9406
1975-02-01,81.3239
1975-03-01,75.5533
1975-04-01,76.4790
1975-05-01,79.8079
1975-06-01,79.6652
1975-07-01,80.9197
1975-08-01,81.7339
1975-09-01,82.5971
1975-10-01,81.3263
1975-11-01,80.6612
1975-12-01,80.3405
1976-01-01,81.5954
1976-02-01,82.2179
1976-03-01,79.7611
1976-04-01,81.0621
1976-05-01,79.8894
1976-06-01,79.4025
1976-07-01,79.4868
1976-08-01,79.5169
1976-09-01,80.3569
1976-10-01,80.1318
1976-11-01,80.3802
1976-12-01,79.7549
1977-01-01,75.3172
1977-02-01,81.6761
1977-03-01,85.0567
1977-04-01,88.3410
1977-05-01,88.8191
1977-06-01,88.8500
1977-07-01,90.0554
1977-08-01,89.6687
1977-09-01,89.6717
1977-10-01,90.2590
1977-11-01,91.1282
1977-12-01,91.1753
1978-01-01,83.0864
1978-02-01,84.5962
1978-03-01,90.7029
1978-04-01,96.0517
1978-05-01,96.1973
1978-06-01,97.2567
1978-07-01,95.9973
1978-08-01,95.6733
1978-09-01,95.5880
1978-10-01,96.6681
1978-11-01,95.7575
1978-12-01,97.8548
1979-01-01,87.8365
1979-02-01,89.6748
1979-03-01,95.4892
1979-04-01,94.2710
1979-05-01,96.6089
1979-06-01,97.4567
1979-07-01,96.0702
1979-08-01,96.5669
1979-09-01,94.5837
1979-10-01,95.6076
1979-11-01,94.9347
1979-12-01,95.5708
1980-01-01,91.7898
1980-02-01,89.2775
1980-03-01,85.0112
1980-04-01,83.1662
1980-05-01,81.3613
1980-06-01,81.9880
1980-07-01,80.3560
1980-08-01,80.3891
1980-09-01,82.0547
1980-10-01,82.9071
1980-11-01,83.9133
1980-12-01,84.3656
1981-01-01,84.3517
1981-02-01,80.9213
1981-03-01,82.9716
1981-04-01,82.2607
1981-05-01,79.6029
1981-06-01,77.0351
1981-07-01,77.0238
1981-08-01,76.2200
1981-09-01,77.0970
1981-10-01,73.7789
1981-11-01,75.4462
1981-12-01,74.7213
1982-01-01,68.5795
1982-02-01,71.1093
1982-03-01,70.0201
1982-04-01,69.6215
1982-05-01,70.9452
1982-06-01,71.8341
1982-07-01,72.8399
1982-08-01,72.3379
1982-09-01,72.3382
1982-10-01,72.5985
1982-11-01,70.6250
1982-12-01,71.0610
1983-01-01,74.7593
1983-02-01,72.2340
1983-03-01,72.0930
1983-04-01,72.1936
1983-05-01,75.1584
1983-06-01,78.4491
1983-07-01,79.9988
1983-08-01,80.9918
1983-09-01,81.6388
1983-10-01,81.2620
1983-11-01,80.5281
1983-12-01,77.9623
1984-01-01,80.4108
1984-02-01,87.2181
1984-03-01,82.9916
1984-04-01,83.4703
1984-05-01,84.1712
1984-06-01,84.6337
1984-07-01,84.9844
1984-08-01,84.4341
1984-09-01,84.2755
1984-10-01,83.7583
1984-11-01,85.3618
1984-12-01,84.4543
1985-01-01,83.6029
1985-02-01,84.0588
1985-03-01,87.2614
1985-04-01,88.1123
1985-05-01,87.4925
1985-06-01,87.1920
1985-07-01,88.2529
1985-08-01,87.5620
1985-09-01,87.5241
1985-10-01,87.7600
1985-11-01,85.3579
1985-12-01,85.1535
1986-01-01,92.6414
1986-02-01,88.8381
1986-03-01,89.0470
1986-04-01,92.7754
1986-05-01,91.8302
1986-06-01,92.2990
1986-07-01,91.6215
1986-08-01,94.0557
1986-09-01,94.5827
1986-10-01,94.4450
1986-11-01,91.8831
1986-12-01,94.4682
1987-01-01,99.4054
1987-02-01,102.3553
1987-03-01,98.5358
1987-04-01,97.5961
1987-05-01,99.3277
1987-06-01,97.3334
1987-07-01,99.0683
1987-08-01,97.6691
1987-09-01,99.5095
1987-10-01,100.5278
1987-11-01,100.0683
1987-12-01,101.9982
1988-01-01,95.9600
1988-02-01,100.1769
1988-03-01,101.7882
1988-04-01,100.6535
1988-05-01,101.9367
1988-06-01,100.7985
1988-07-01,98.7085
1988-08-01,98.9295
1988-09-01,98.8728
1988-10-01,100.0713
1988-11-01,100.6505
1988-12-01,101.8001
1989-01-01,103.7674
1989-02-01,98.8489
1989-03-01,100.6080
1989-04-01,101.9967
1989-05-01,98.8343
1989-06-01,98.0788
1989-07-01,100.2613
1989-08-01,101.1095
1989-09-01,98.9568
1989-10-01,101.2919
1989-11-01,100.3592
1989-12-01,97.3698
1990-01-01,104.7524
1990-02-01,104.2547
1990-03-01,102.6569
1990-04-01,100.8213
1990-05-01,98.2644
1990-06-01,97.3685
1990-07-01,95.4382
1990-08-01,94.9393
1990-09-01,94.3608
1990-10-01,91.0665
1990-11-01,94.6322
1990-12-01,93.6377
1991-01-01,85.9384
